massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row55	545.343097189	3.71693773541	1.59714452805e-05	-5.23603239697	2745
row56	235.118639986	6.7164970101	1.73066918335e-05	5.21118344063	1787
row57	770.60319519	3.19827258897	2.22138733678e-05	-5.14336803442	2921
row58	544.339624353	3.7130083018	2.39863035367e-05	-5.11939393171	2744
row59	520.34004091	3.7646980979	2.75463033391e-05	-5.07970302048	2720
row60	792.58900532	3.17424326169	4.59576758528e-05	-4.94374130075	2958
row61	767.577111606	3.19096532669	5.21605713686e-05	-4.90664923538	2913
row62	797.623622054	3.16025200588	5.93330464003e-05	-4.86892028175	2966
row63	205.126404021	9.29280034267	6.23564947663e-05	-4.85179332184	1441
row64	171.076459483	9.2359345444	6.75987327751e-05	-4.8265961862	952
row65	837.618204753	3.15076792969	7.6719659257e-05	-4.78937837422	3028
row66	221.153690866	3.40930317322	7.72813051517e-05	4.78345590168	1631
row67	275.103354738	11.8912975958	7.96528301764e-05	4.77156394632	2114
row68	204.123141581	9.29506392194	0.000106963675364	-4.6898431115	1419
row69	146.092455016	11.9397038775	0.000106979038273	4.68362074086	602
row70	905.593771012	2.99893937706	0.000106979038273	-4.68212014179	3109
row71	130.049957175	9.23573823615	0.000109160452978	-4.67300039601	366
row72	816.701686991	3.3019741241	0.000129860025605	-4.62139733239	3000
row73	495.327559456	3.8611968663	0.000129860025605	-4.61796086826	2695
row74	786.600047061	3.18717774364	0.000129860025605	-4.61575323722	2942
row75	787.603593927	3.1828694994	0.000130775263984	-4.61029203732	2944
row76	780.552582236	3.21558252077	0.000138527222154	-4.59134860938	2932
row77	113.059673909	3.46487043657	0.000141067296757	4.58298108038	172
row78	781.556099543	3.22256921621	0.000162501281462	-4.54153175704	2934
row79	801.683343276	3.29423927793	0.000228061927021	-4.44639135782	2973
row80	756.553134245	3.23796904597	0.000356554786839	-4.32052729023	2894
row81	181.072042729	6.7037301188	0.000399478607405	-4.28251910841	1100
row82	185.128542171	4.43510818154	0.000399478607405	4.28225413731	1150
row83	774.598490589	3.19673460428	0.000406872181518	-4.27380467212	2927
row84	424.341920756	3.70254434738	0.000433863483831	-4.25262704264	2620
row85	234.133583196	3.72693418919	0.000434915025131	-4.24865945704	6915
row86	119.016192028	10.0975540407	0.000451881025276	-4.23136724142	253
row87	523.359145717	3.73649391467	0.000451881025276	-4.22942808983	2725
row88	744.588998546	3.2089196055	0.000451881025276	-4.22832400321	2878
row89	234.014714997	9.79680535703	0.000464006729717	-4.21777289096	1766
row90	522.355883147	3.73698690196	0.000464869671401	-4.21351672723	2724
row91	499.348385184	3.82135217676	0.000464869671401	-4.21104022803	2703
row92	498.345832825	3.81395682337	0.00053860901272	-4.16667824294	2701
row93	496.339679116	3.81947167478	0.000541675574649	-4.16203909059	2696
row94	497.343136235	3.82270923495	0.000594727552866	-4.13267635992	2698
row95	510.355678558	3.75556672991	0.000674313615129	-4.09410819887	2711
row96	675.543216759	3.46378694726	0.000696164770548	-4.08206995682	2830
row97	191.040284656	11.9114270141	0.000731233437978	-4.065126416	1236
row98	773.587627016	3.20318474758	0.000762800738537	-4.05014065978	2925
row99	482.324212124	3.85737394875	0.00077441588056	-4.04037356918	2678
row100	212.99954368	10.8051930829	0.00077441588056	-4.04004717364	1516
row101	759.572288112	3.2158704317	0.000790543203753	-4.03130109582	2898
row102	254.025911073	10.7961083686	0.000801855612165	-4.02440815518	1963
row103	154.058688856	11.7133722814	0.00100246283852	3.95730468841	714
row104	209.092138993	9.3233161988	0.00114500806342	3.91592660864	1463
row105	758.568829185	3.21358041732	0.00126343373033	-3.88443039331	2897
row106	190.086226295	6.71757080015	0.00147983109285	-3.8352689831	1229
row107	496.339665243	6.67838650145	0.00148377763586	-3.83171918146	2697
row108	149.117311529	4.01666007706	0.00173739423003	3.7823114798	662
row109	162.076120017	9.36507503203	0.00209887540777	3.72321263971	847
row110	236.072851539	10.8712509029	0.00259430223245	-3.65666294793	3945
row111	112.050562	9.76502164353	0.00281635650285	3.62900608086	168
row112	305.251486672	3.34616116401	0.00317435691498	-3.58940472953	2332
row113	772.584147578	3.20902399417	0.00317435691498	-3.58554946751	2923
row114	136.042766918	10.0992891808	0.00317435691498	-3.58435775981	459
row115	159.157357765	3.61378549807	0.00372911465559	3.5321310446	810
row116	380.255829562	4.24807727514	0.00408655955661	-3.50109735737	2548
row117	497.343118191	6.6902299591	0.00471835130166	-3.45359127953	2699
row118	128.0706107	9.77143839513	0.0048990179962	3.43914190883	338
row119	524.37135596	3.70290365191	0.00496149850042	-3.43251040388	2726
row120	176.037662841	6.71438045935	0.00512051661211	-3.41995110354	1031
row121	789.618006999	3.18515877546	0.00565900042903	-3.3857358322	2953
row122	525.374697635	3.70120072502	0.00574719141811	-3.37822128353	2728
row123	595.492783276	3.00049264503	0.00639302060815	-3.34171257075	2781
row124	144.101958865	10.8185247458	0.00783977949597	3.27352253828	566
row125	127.050235748	10.0611887142	0.00790847620384	3.26711004405	325
row126	151.047797162	11.872232773	0.00790847620384	-3.26551659575	676
